Need help,commonQ.assist
I need some info ,commonQ.assist
Will you help me? ,commonQ.assist
What else can you do? ,commonQ.assist
What can you help me with?,commonQ.assist
How you doing?,commonQ.how
Are you fine?,commonQ.how
How are you?,commonQ.how
How are you doing?,commonQ.how
Wassup?,commonQ.how
Can you tell me your name?,commonQ.name
Your name?,commonQ.name
Who are youu?,commonQ.name
Your name is?,commonQ.name
Who is chatting?,commonQ.name
Give me your mobile no,contact.contact
Getting in touch,contact.contact
Need a telephonic call,contact.contact
Contact me please,contact.contact
arrange call for me,contact.contact
